X,Y,OBJECTID,NAME_FIELD,NAME_FIE_1,NAME_FIE_2,ADDRESS,BLD_NUM,STREET_NAM,STREET_TYP,CITY,STATE,ZIP,URL
-71.273532481999951,41.669071921000068,1,Bristol Fire Department, Eveready Station, ,72 Church St,72,Church,St,Bristol,RI,02809,http://www.bristolri.us/fire/stations.php
-71.748874795999939,41.405082354000058,2,Bradford Volunteer Fire Department, , ,3 North Main St,3,North Main,St,Bradford,RI,02808,http://www.fire-marshal.ri.gov/departments.php
-71.260593816999972,41.686607781000077,3,Bristol Fire Department, Hydraulic Fire Station, ,4 Annawamscutt Dr,4,Annawamscutt,Dr,Bristol,RI,02809,http://www.bristolri.us/fire/stations.php
-71.273532481999951,41.669071921000068,4,Bristol Fire And Rescue Department, , ,72 Church St,72,Church,St,Bristol,RI,02809,http://www.bristolri.us/fire/stations.php
-71.278989059999958,41.691668867000033,5,Bristol Fire Department, Defiance Hose Company, ,1124 Hope St,1124,Hope,St,Bristol,RI,02809,http://www.bristolri.us/fire/stations.php
-71.705204733999949,41.355988649000039,6,Dunns Corner Fire Department,Station 2, ,5664 Post Rd,5664,Post,Rd,Charlestown,RI,02813,http://www.dunnscornersfire.com/
-71.328083600999946,41.748095869000053,7,Barrington Fire Department, , ,100 Federal Rd,100,Federal,Rd,Barrington,RI,02806,http://www.barringtonrifire.com/
-71.294396578999965,41.745909219000055,8,Hampden Meadows Volunteer Fire Company, , ,168 Sowams Rd,168,Sowams,Rd,Barrington,RI,02806,http://www.hmvfc.org/
-71.670202626999981,41.913508860000036,9,Chepachet Fire Department, , ,1170 Putnam Pike,1170,Putnam,Pike,Glocester,RI,02814,http://www.chepachetfire.com/
-71.570976863999988,41.176782050000043,10,New Shoreham Fire And Rescue,Block Island Station, ,10 Beach Ave,10,Beach,Ave,New Shoreham,RI,02807,http://www.new-shoreham.com/displayboards.cfm?id=29
-71.784717178999983,41.425241454000059,11,Ashaway Volunteer Fire Association, , ,213 Main St,213,Main,St,Hopkinton,RI,02804,http://www.ashawayfire.org/
